brand|name_perfume|family|subfamily|fragrances|ingredients|origin|gender|years|description|image_name
La Sultane De Saba|Voyage Sur La Route De Malaisie|FLORAL|FLORAL|Floral Classical Jasmine|['Jasmine', 'Orange Blossom', 'Freesia', 'Tuberose', 'Violet', 'Ylang-ylang', 'Rose (Grasse)', 'Musk', 'Vanilla', 'Petitgrain']|France|Female|2014|La Fleur de Champaka, s'ouvre et ne diffuse son parfum qu'après le coucher du soleil. Parfum fleuri, il saisit tel un étourdissement de sensations dès la première inspiration.|viusqoa87o5rah4k1eo9kl2a42n7jgbipz93ou6wpnkxyw7418w5fbserzs2-w500-q85.jpg
Horseball|Classic|WOODY|CITRUS|Woods Fresher|['Cedarwood', 'Grapefruit', 'Ginger', 'Vetiver', 'Lemon', 'Mandarin', 'Iris / Orris', 'Patchouli']|France|Male|2009|Classic by Horseball for a man who is both sensual and refined and above all, sophisticated.|zbn1fozmcntfyl5zzlkbau09mgfv4xikrkwspseci60h9b1hqgafw8tndv8s-w500-q85.jpg
Calvin Klein|Contradiction For Men|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher|['Coriander', 'Patchouli', 'Cashmeran (Woody musky)', 'Sandalwood', 'Vetiver', 'Cardamom', 'Clementine', 'Lavender', 'Lime', 'Nutmeg', 'Palisander Rosewood', 'Pepper', 'Clary Sage']|United States of America|Male|1998|A bracing oriental with a cool-crisp top note that includes key lime, grove clementine, frosted leaves, sage and lavender. The middle notes are cardamom, coriander, nutmeg and peppercorn. The drydown includes, ebony, bubinga wood, vetiver, patchouli and sandalwood.|07w2p7gh3p59ha3qn14if929kepnjdpdzmm4365fmriwcz1545m5nhskjbco-w500-q85.jpg
Chloé|Chloé Nomade Nuit D'Egypte|FLORAL|FLORAL|Floral Fresher White Flower|['Myrrh', 'Vanilla', 'Kyphi Accord', 'Orange Blossom', 'Cinnamon', 'Cypriol / Nagarmota', 'Ginger', 'Opoponax']|France|Female|2024|Nomade Nuit d’Égypte is an homage to the creator’s homeland. Born in 1921 in Alexandria, Gaby Aghion later left Egypt for France in the mid-1940s. Ever since she founded Chloé in 1952, the memories of her birthplace have continually inspired the Maison’s style.|2p1dpown4dwv2fghm2d13tfj6kmrjyncj3hxudsrtahv4xk09ulmoi5r6l0o-w500-q85.jpg
Hummer|Hummer Legendary|WOODY|CITRUS|Woods Fresher|['Cedarwood (Virginia)', 'Grapefruit', 'Tonka Bean', 'Bergamot', 'Amber', 'Cardamom', 'Iris / Orris', 'Musk', 'Pepper']|United States of America|Male|2019|A warm, sensual, woody fresh scent that embodies the masculine Hummer heritage.|0rsikac55b4oecegw1x2cyctkehellspet87n584sdza7rbtwe7ntetnl86y-w500-q85.jpg
Guerlain|La Petite Robe Noire Modèle 2 / Mlle Guerlain|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher Citrus|['Iris / Orris', 'Bergamot', 'Orange Blossom', 'Galbanum', 'Leather', 'Lemon', 'Musk']|France|Female|2011|An evocative and refined perfume, La Petite Robe Noire Modèle exudes femininity, for the elegant and modern Guerlain woman.|63ej0yoj2b74b199fudwterum22z2454jeygilvt2wi56687sb2u3lwopc2r-w500-q85.jpg
Esprit|Groovy Life By Esprit Man 2009|WOODY|CITRUS|Woods Fresher|['Sandalwood', 'Grapefruit', 'Green Apple', 'Vetiver', 'Geranium', 'Lavender', 'Musk', 'Clary Sage', 'Pepper (Jalapeno)']|Germany|Male|2009|A positively irresistible trip sailing on a natural green-woody fragrance. Capture the spirit of summer with Esprit Groovy Life. It's all about chilling out at the beach with friends and catching wave after wave good times. So relax, enjoy the long summer days with your friends and let the good times roll.|gkhnxccpweioimocxtkak40hc5c89moi8n6xzpa5stcts701o2nagcsscv3k-w500-q85.jpg
Bruno Banani|Daring Woman Eau De Parfum|FLORAL|AMBERY (ORIENTAL)|Floral Amber Crisp Fruity|['Orange Blossom', 'Benzoin', 'Peach', 'Rose', 'Bergamot', 'Green Apple', 'Cedarwood', 'Musk', 'Sandalwood']|Germany|Female|2022|A luxurious scent for the sensual woman.|zq9gdhj921j4uyve8957ct6z9vvp7juv4zrttf9zfl50ot0vll6q3mb6cg2x-w500-q85.jpg
Parfums De Marly|Darley|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Classical|['Lavender', 'Rosemary', 'Rose', 'Tonka Bean', 'Mint', 'Cinnamon', 'Orange Blossom', 'Bergamot', 'Guaiac Wood', 'Lemon', 'Patchouli', 'Sandalwood']|France|Male|2010|Darley is a rich masculine scent, full of interesting and unexpected notes.|n4qc1uvekhhd24rtthyhdurd0osfkxsiuwj6w73wpzrq25z0h3nmasb1obud-w500-q85.jpg
Alexandre.J|Majestic Nard Extrait De Parfum|WOODY|AMBERY (ORIENTAL)|Woody Amber Crisp Citrus|['Oud / Agarwood', 'Elemi', 'Saffron', 'Cardamom']|France|Unisex|2023|This extrait is a delight to ambery notes lovers.|4mmdcq5wui6wr9zcekv4k1bhtrxzwsoht50ymmnjxvloop6x4uxspitv41v3-w500-q85.jpg
Yanbal|Temptation Eau De Parfum|FLORAL|FLORAL|Floral Classical Bouquet|['Rose (Bulgaria)', 'Gardenia', 'Clove']|Peru|Female|2016|Temptation Eau de Parfum is for the woman who knows how to conquer with all her charms. This fragrance is a powerful weapon that combines lush accents with seductive spices, and an intense floral bouquet that will make your irresistible appeal shine.|3jfc994ml837g8af2hmzjt61vwhuizvfdwxv97j8cajmw3hdfi45gfp4znln-w500-q85.jpg
Maison Crivelli|Neroli Nasimba|LEATHER|CITRUS|Dry Woods Crisp White Flower|['Neroli (Tunisia)', 'Leather', 'Ciste Labdanum', 'Mandarin', 'Cardamom', 'Pink Pepper', 'Orange Blossom', 'Petitgrain', 'Vetiver']||Unisex|2023|For Neroli Nasimba, Thibaud Crivelli, founder of the brand, was inspired by a personal experience of discovering orange blossom on safari. From this memory was born the desire to create a surprising and daring perfume.|lwncif3503hz4768svmtehqsiwn9uvaqaxz83kcr498ipxcaonuf47bt92tr-w500-q85.jpg
N.C.P Olfactives|704 Incense & Musk|AMBERY (ORIENTAL)|FLORAL|Soft Amber Classical|['Incense / Olibanum', 'Musk', 'Spicy Notes', 'Leather']|Denmark|Unisex|2019|Olfactive facet 704 is a deep, and mysterious fragrance created around Musk and Incense. Tones of smooth leather and spice residing on a deep oriental base give this fragrance a bold yet sensual attitude with a distinct air of confidence.|6xzk3ga7nbkjanxcnd5sfj67lqlj6bwsrockqvjmdmr1pmyjqi6cpbimy2dy-w500-q85.jpg
Hermès|Twilly D'Hermès Eau Ginger|FLORAL|SPICY|Floral Fresher Citrus|['Ginger', 'Peony', 'Cedarwood']|France|Female|2021|Twilly Eau Ginger is a flash of radiance, a vision of the Hermès girls in peals of laughter! Yesterday they were mischievous, then spicy, and today they are joyful, bright and sparkling.|aa3weis28ap3ljos9nw3ofek04ldnhf1jfc48bb6e11668fbacu15izezszo-w500-q85.jpg
Banderas|Power Of Seduction Intense Ice 2023|AMBERY (ORIENTAL)|AROMATIC FOUGERE|Amber Crisp|['Vanilla', 'Lavender', 'Patchouli', 'Tonka Bean', 'Cedarwood', 'Bergamot', 'Incense / Olibanum', 'Black Pepper', 'Lily', 'Lily Of The Valley', 'Sandalwood']|Spain|Male|2023|"You can't sit still. You give it your all in whatever you do, wherever you are. The word ""vertigo"" does not exist in your vocabulary. You still have strength for new challenges but you need to keep a cool head to reach the next summit. Intense Ice is a dynamic, contemporary and sporty fragrance. Are you ready?"|ba4h6tezlui4crx8b3m7ybh0hjddo5f6jr87dhbhvqcq5m7eghgdchnblehc-w500-q85.jpg
Serge Lutens|La Couche Du Diable|AMBERY (ORIENTAL)|AMBERY (ORIENTAL)|Amber Classical|['Ciste Labdanum', 'Oud / Agarwood', 'Rose', 'Plum', 'Everlasting Flower', 'Tobacco Leaf']|France|Unisex|2019|How can one attend the coronation of Satan without ever once having tasted sin? Oud and labdanum come together to create a diabolical and sumptuous veil of indulgence and remorse for a first transgression.|bm86frcp5yvzy4rklhxpmbpn4ks67fxmp65zrrrbrli7avuz5n627zwx0fuh-w500-q85.jpg
Franck Olivier|Bamboo Franck Olivier Women|FLORAL|GREEN|Floral Fresher Green|['Rose', 'Blackcurrant Bud', 'Cedarwood', 'Freesia', 'Lily', 'Ylang-ylang', 'Ivy', 'Violet Leaves', 'Musk', 'Vetiver']|France|Female|2012|Sensual, intensive and sophisticated. This fragrance is an explosion of delightful notes and intoxicating scents. Wonderfully infused green leaves with berries fill our senses with wonder. The middle and base notes of this unique fragrance are but the promise of a floral journey where notes subtly combine with powerful scents.|21k4049drbsia0ikn90wy3manvgirgbvgkswy8qltwqyj8e6n25t0wyq2rx1-w500-q85.jpg
Victoria'S Secret|Forever Sexy|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher White Flower|['Gardenia', 'Amber', 'Iris / Orris', 'Jasmine', 'Osmanthus', 'Vanilla', 'Apricot', 'Bergamot', 'Cedarwood', 'Musk']|United States of America|Female|2015|As seductive as our lingerie, Forever Sexy flirts with exclusive note for a luxe, sultry warmth. It's an icon in the making in a convertible corseted bottle.|j702ut84tbjmzymony3f9mdxckoyt2hckptdssrjfl1glwbhogsfe767uc6l-w500-q85.jpg
4711|Noble Rose|FLORAL|GREEN|Floral Crisp Green|['Rose', 'Cedarwood', 'Rose Damascena', 'Bergamot', 'Guaiac Wood', 'Musk']|Germany|Unisex|2024|Noble Rose honours the queen of flowers with a profound and richly contrasting composition that delves into the magical world of Asia Minor and its precious treasure.|qpau5wbfmfpjjl0tvtyl7vrv8kyp2n7l0fmiqj8aqumhi85peerkzvgnhuek-w500-q85.jpg
Roos&Roos|Smoke And Mirrors|WOODY|WOODY|Dry Woods Classical|['Oud / Agarwood', 'Tobacco Leaf', 'Amber', 'Myrrh', 'Tonka Bean', 'Cedarwood (Atlas)', 'Gourmand Accord', 'Musk', 'Osmanthus', 'Aromatic Notes']|France|Unisex|2019|You never forget the scent of the first man in your life, the scent of the pipe that Chantal's father sometimes smoked and is still in her memory.|9e14z7mf6suxnuclfytgj73ibly158jmh2o3t3svcyso3qxscuk9soau5fma-w500-q85.jpg
Perris Monte Carlo|Rose De Taif Extrait|FLORAL|FLORAL|Floral Classical Rose|['Rose (Taif)', 'Elemi', 'Balsam (Peru)', 'Rose Centifolia', 'Rose (Turkey)', 'Clove', 'Geranium', 'Bergamot', 'Lemon', 'Musk', 'Nutmeg', 'Patchouli', 'Cedarwood (Virginia)']|France|Unisex|2016|Experience the fragrance Rose de Taif in its purest form. Subtle touches differentiate the extrait from its eau de parfum and bring forth an unmatched intensity and depth, making the original scent richer, more opulent and utterly captivating.|vf63cr8m1li2lyiaitu2ayg64lntyadahyadefk97i9wi4ah54oljfvj7gk0-w500-q85.jpg
Jequiti|Brille|FLORAL|GREEN|Floral Fresher Green|['Jasmine', 'Lily Of The Valley', 'Peony', 'Bergamot', 'Cashmeran (Woody musky)', 'Lemon', 'Musk', 'Neroli', 'Patchouli', 'Vanilla']|Brazil|Female|2019|A perfume that shines with the beauty of being strong, decisive, being light. That makes me shine to conquer my dreams and my place in the world. Intense and glamorous, I leave my trail wherever I go. I am remarkable and unforgettable.|akhgb4aesf8pr82n0930o1vvb3qe2n92u3moybnrjfmfo2gv17qjvvu1ozkh-w500-q85.jpg
Birkholz|Berlin Heaven|FLORAL|FRUITY|Fruity Classical|['Lychee', 'Pear', 'Musk', 'Lily Of The Valley', 'Rose', 'Raspberry', 'Amber', 'Woody Notes', 'Blackcurrant Bud']|Germany|Unisex|2018|Berlin Heaven is a composition as light and fruity as a picnic under the Berlin sky. Like a picnic at the zoo, under the clear blue sky, inviting you to let your mind wander about living carefree day to day and forgetting everything around us.|s8iow2ieeolpymtdgefykf3jpod4blo61xw0mzxl13co9orcji2dmxneow0v-w500-q85.jpg
Korres|Neos|AROMATIC FOUGERE|SPICY|Aromatic Fougère Fresher Spicy|['Cinnamon', 'Mandarin', 'Patchouli', 'Anise', 'Mint', 'Spicy Notes', 'Cashmeran (Woody musky)', 'Floral Notes', 'Grapefruit', 'Leather', 'Orange Blossom', 'Rose']|Greece|Male|2015|"The fragrance of Korres are a direct passport to Greece and its mythology, with its lovely nymphs and goddesses, their brave warriors and powerful gods. Dionysio's (god of wine and parties) sensuality, energy and playfulness inspired the fragrance of Korres Neos, which means ""New Greek"". A modern and seductive fragrance with rich, warm notes of golden cedar, perfect for men who want to stand out."|n268tfbvi8nlkdlhkicg4q4xz466htnkig2y9859oa360svagqtubo9gwbwa-w500-q85.jpg
Detaille 1905 Paris|Fleur|FLORAL|CITRUS|Floral Fresher Citrus|['Bergamot', 'Lavender (Provence)', 'Patchouli (Indonesia)', 'Geranium', 'Mint', 'Petitgrain']|France|Unisex|1905|Fleur, a refreshing pause in a summer garden. The subtle scent of citrus. The sensuality of sunkissed skin. Blooming flowers on warm and sunny days.|bnmcg4p3kbiiarhnzglddcyyk6cr2pmrjw9euh4vtknq2s2lpjmvl0mbpoog-w500-q85.jpg
Min New York|Voodoo|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher Green|['Sandalwood', 'Galbanum', 'Patchouli', 'Oud / Agarwood', 'Incense / Olibanum', 'Cardamom', 'Geranium', 'Leather', 'Lime', 'Pink Pepper', 'Rose (Turkey)']|United States of America|Unisex|2017|There exists a distinct amount of time before moments convert to memories. This convergence of body & soul ignites a fire of mysterious & inexplicable attraction.|kr23ke08qjuoj64rk1td9kmqd9aewp29hv8ikizri5j5p06vama99nkxk61r-w500-q85.jpg
Bath & Body Works|Poppy|FLORAL|FRUITY|Floral Crisp Fruity|['Pear', 'Rhubarb', 'Dew Drop']|United States of America|Female|2022|Poppy smells like sweet florals dancing in fresh late-summer air: bright, bold and cheerful.|wkqqh75wimdx3qpsvy9ospdut8xijydyiavxp978qkky1gywdetl9llmnod1-w500-q85.jpg
A Lab On Fire|Je M'En Fous|FLORAL|CITRUS|Soft Floral Fresher Citrus|['Salicylate (Floral notes)', 'Mandarin', 'Ambrette Seed', 'Jasmine', 'Bergamot', 'Neroli', 'Aldehyde', 'Lavender', 'Lentisk', 'Ambrox (Ambergris)']|United States of America|Unisex|2023|The wind picks up, we take a corner fast and then up into the hills. Sunglasses, warm skin. We are being beautiful together. So what? Maybe the party finished. Maybe we need a ride home. That’s cool, let’s just walk. Let’s hitch a ride. Let’s swim in dawn, get made new. Let’s see what happens. Je M'En Fous is a brief impression of Santa Monica in June 1999.|afrr2fn4ec612ge4skki549uf39upafal1nvvleb356u1llg1lpqjybh6jz4-w500-q85.jpg
Guerlain|Musc Noble|FLORAL|MUSK SKIN|Soft Floral Richer Musk|['Musk', 'Rose', 'Cedarwood', 'Amber', 'Ciste Labdanum', 'Geranium', 'Saffron']|France|Unisex|2018|Inspired by the lands of the Orient, this creation by Maison Guerlain, Musc Noble highlights one of the most mysterious materials in Perfumery: musk. Alternately powerful, warm and powdery, the musk sublimates the fragrance in an intense harmony and full of character.|j13842mx51aavgbnenk3booxvmy8xmngoqftico42cpe1zrpwskpqic178aj-w500-q85.jpg
Kenzo|Flower By Kenzo L'Absolue|FLORAL|AMBERY (ORIENTAL)|Floral Amber Crisp Fruity|['Orange Blossom', 'Saffron', 'Vanilla', 'Rose Damascena', 'Musk']|France|Female|2022|Master Perfumer Alberto Morillas transcends the poppy. With Flower by Kenzo L’Absolue, he has signed a sophisticated and captivating spicy floral fragrance for women.|2mydvtsunevexn7ghkf7avdpr2g93n3kl5orlwpibfaenhm2lftdqm9atxdn-w500-q85.jpg
Parfums De Marly|Sedbury|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher White Flower|['Amber', 'Jasmine', 'Tuberose', 'Sandalwood', 'Vetiver (Haiti)', 'Vanilla', 'Benzoin (Laos)', 'Bergamot', 'Iris / Orris', 'Lavender', 'Mandarin', 'Clary Sage', 'Patchouli (Indonesia)']|France|Female|2015|Described as a steed of exquisite beauty, fine shape and form, Sedbury was said to be the best of his size in his day. The perfume replicates these values and is a flawless blend of floral goodness with contemporary notes.|mkgc54a78yo6aull3ek1inj0hqkv5sap3mpdkhxt1qvycdnpj4sdurevayru-w500-q85.jpg
Paris Bleu|Rich Man Aqua|AROMATIC FOUGERE|WATERY|Aromatic Fougère Fresher Water|['Lavender', 'Marine', 'Cedarwood', 'Cashmeran (Woody musky)', 'Orange Blossom', 'Pear', 'Pineapple', 'Pink Pepper', 'Sandalwood']|France|Male|2016|To start, Rich Man Aqua is awaken by a fresh and energetic combination, followed by a classic that brings modernity to the fragrance. The powerful woody tonalities gives character to the dry-down and liberates an intense and lingering trail.|72xf9gtvvnaln78mr2yk4piwsk3cd3p1yab4nqr19hjcs6y2rhdc30pmmcgn-w500-q85.jpg
Perfume Lounge|Taboo Desire|FLORAL|FRUITY|Floral Crisp Fruity|['Rose', 'Patchouli', 'Pear', 'Bergamot', 'Grapefruit', 'Lemon', 'Neroli', 'Peach', 'Cashmeran (Woody musky)', 'Cedarwood', 'Musk']||Female|2022|Taboo Desire is a floral fragrance with fruity undertones that leaves a lasting impression on those around you.|hmemkd2wgwca63etxumhfjli8ae1gv64ckoyrzrfqb59b1eey1y48u9d67h9-w500-q85.jpg
Afnan|Souvenir Desert Rose|FLORAL|FRUITY|Floral Crisp Fruity|['Heliotrope', 'Raspberry', 'Amber', 'Lily Of The Valley', 'Peach', 'Blackcurrant Bud', 'Citruses', 'Musk', 'Sandalwood']||Unisex|2020|Fruity, rich, but not overwhelmingly sweet, Souvenir Desert Rose is unlike any other I have tried before. It is a fragrance that can appeal to both men and women. Be brave, try it and enjoy.|3qkytuc6jukq2794s987qompmt5retm1l17gqpgbg589cdnb2m1aycwgh3o6-w500-q85.jpg
Byredo|Le Gant : Night Veils|FLORAL|ALDEHYDIC|Soft Floral Classical|['Heliotrope', 'Bergamot', 'Leather', 'Mimosa', 'Amber', 'Saffron']||Unisex|2016|Le Gant begins with an enveloping scent of spicy citrus notes. As the hours pass, the Tuscan leather becomes addictive, intensely ambery, meltingly smooth.|zd0evty226elh5en5t9zlmrrp3m6fnqbp3bt7h0oco7128ypcokfb7hgm0so-w500-q85.jpg
Demeter Fragrance Library|Salt Air|AROMATIC FOUGERE|WATERY|Water Crisp|['Sea Breeze']|United States of America|Unisex|2004|Imagine a perfect sea breeze on the perfect beach at your favorite tropical island. Now you have the perfect description Salt Air. There's just no denying it Salt Air will have you thinking of that last vacation and much needed new one.|c92oqowmnxno3l05awngcodzt7rdrox19s3nos46fjmte93yxexdugm2jbwl-w500-q85.jpg
Durance|Brin De Lavande / Sprig Of Lavender|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Classical|['Lavender (Provence)', 'Bergamot', 'Sandalwood', 'Amber', 'Mandarin', 'Musk']|France|Female|2018|The Brin de Lavande fragrance and its aromatic and lively notes evoke blue fields as far as the eye can see.|g7omyua5bh608n2j18h05njqfe5u386os8eew4uoay8z1p7mmzzknijaw7bo-w500-q85.jpg
Bottega Veneta|Illusione For Her|WOODY|CITRUS|Mossy Woods Fresher Citrus|['Orange Blossom', 'Bergamot', 'Tonka Bean', 'Blackcurrant Bud']|Italy|Female|2019|Far from the rush of every day life, sits a sunlit Italian Villa. Gentle breezes warm the air, inviting water ripples in a nearby pool. The soft hum of cicadas can be heard in the distance. In this setting, every sense is heightened, creating an intoxicating sense of calm. For an instant, time stands still; the line between dream and reality blurs.|h6ussne1zijovpo5cnrecx6o73xv6pm9dr7cnpwoar5pshmg3ujlk51o7jpk-w500-q85.jpg
Fila|F-Vibes For Man|AROMATIC FOUGERE|FRUITY|Aromatic Fougère Crisp Fruity|['Lavender', 'Red Apple', 'Tobacco Leaf', 'Cinnamon', 'Mandarin', 'Amber', 'Cedarwood', 'Patchouli', 'Violet Leaves']|Italy|Male|2015|Fila F-Vibes for Man is a fragrance with hints of exotic notes mixed to create a wonderful symphony.|dadazgq8027hr9hvkf0ojll3zt8xreszgi9crp296ip3osdw8j1o6rtiir2d-w500-q85.jpg
Vera Wang|Glam Princess 2010|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher Fruity|['Orange Blossom', 'Pear', 'Vanilla', 'Cashmeran (Woody musky)', 'Cedarwood', 'Ambrette Seed']|United States of America|Female|2009|Glam Princess's sparkling personality shines through in a fantasy fragrance fit for a Hollywood Princess… Arriving red carpet ready with top notes of yummy fruits. Like bees drawn to honey, the paparazzi swarm around her as she flirts with the spotlight. Being the life of the party, she leaves a lingering trail luxuriously behind her.|rza6iaa55n5fcosueizv5gfdajchtr3bikwnbsp12bmcm87usqybx5kogx2e-w500-q85.jpg
Fragonard|Concerto|CITRUS|CITRUS|Citrus Classical|['Bitter Orange', 'Tea', 'Cedarwood', 'Bergamot', 'Lemon', 'Jasmine', 'Rose', 'Amber', 'Patchouli', 'Sandalwood']|France|Male|1995|Concerto is a simple, elegantly aromatic harmony of true citrus fruity freshness, mellowed with tea, ambery notes and flowers. Moving and captivating, a bewitching combination.|7ecg7gim4mikkuadbch886ffdlc179cvdbi2oegzaz7zidpyhqsv6r1fbsyi-w500-q85.jpg
Scent Library|2B Pencil|WOODY|TOBACCO|Woody Amber Classical|['Cedarwood', 'Sandalwood', 'Tonka Bean', 'Tobacco Accord', 'Musk', 'Black Pepper']||Unisex|2018|2B pencil is always doing multiple choice, and you hope you would never worry about the answer of your life.|2zyg2ys5pmf6liyiupkth5b8snlc2cuin3nolzciimmjibr65fbx7ypw22lf-w500-q85.jpg
Caron|Pour Une Femme|FLORAL|MUSK SKIN|Soft Floral Richer Bouquet|['Rose Centifolia', 'Amber', 'Mandarin (green)', 'Orange Blossom', 'Benzoin', 'Incense / Olibanum']|France|Female|2001|Created in 2001 by Richard Fraysse as an ode to femininity, Pour Une Femme is the counterpart to Pour Un Homme: a sensual and intoxicating olfactory imprint, an infallible and unforgettable seductive weapon for women.|qa2kc0mntngipltm8440oes0rxy8m3qqguzi636k7jrg8m8rpzi5h9bjsffv-w500-q85.jpg
Montblanc|Signature Absolue|FLORAL|AMBERY (ORIENTAL)|Floral Amber Crisp Fruity|['Ylang-ylang', 'Amber', 'Pear', 'Tuberose', 'Mandarin', 'Tonka Bean', 'Cedarwood']||Female|2023|Sparkling, radiant and intense, this unique fragrance offers the Montblanc woman a new way to project her character and express her desire to illuminate her universe effortlessly, inviting others to follow in her irresistible wake.|xv8pyi16e1l5r1xndlkutdu8stxy4666bso58ygxryokvr4kdqfirn9fyf59-w500-q85.jpg
S.Oliver|Scent Of You Women|FLORAL|FRUITY|Floral Fresher Fruity|['Peony', 'Patchouli', 'Jasmine', 'Rose', 'Pear', 'Mandarin', 'Musk', 'Sandalwood']|Germany|Female|2022|This sensual eau de toilette for women celebrates these supposedly chance encounters, these magical surprises and the indescribable first impressions, as if they were written in the stars.|7pire9aisrpxek6gdg11qx5hx7h4tfoqnau19xr1uvspv1t4ycbv4bjmtyx0-w500-q85.jpg
Loewe|Jardines De Sabatini|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher Fruity|['Blackberry', 'Cinnamon', 'Patchouli', 'Ciste Labdanum', 'Tonka Bean', 'Vanilla', 'Grapefruit', 'Heliotrope', 'Pink Pepper', 'Tobacco Leaf']|Spain|Unisex|2019|Loewe's Jardines de Sabatini eau de parfum is centered on a potent, meticulously modern blend that invigorates the senses with a unique harmony of raw compositions.|h825el7kn08uhqtu2y9ommyvxspn65e0g77vjvts8jilij7wy8d15vynbd3b-w500-q85.jpg
Van Cleef & Arpels|Rêve D'Encens|AMBERY (ORIENTAL)|FLORAL|Soft Amber Classical|['Incense / Olibanum', 'Musk', 'Saffron', 'Rose', 'Sandalwood']|France|Unisex|2018|"""To me, frankincense embodies all the lavishness of the Middle East. It takes respect and attention to detail to appreciate its fascinating, almost sacred olfactory signature,"" Fabrice Pellegrin, Perfumer."|47y3g7k9bx9vl9rxekpkpn4j5uh11qfi4wt4dpmgymle4yiiq0ietin3is5a-w500-q85.jpg
Burberry|Burberry Her Intense|WOODY|FRUITY|Mossy Woods Fresher Fruity|['Blackberry', 'Benzoin', 'Jasmine', 'Cherry', 'Cedarwood', 'Violet']|United Kingdom|Female|2019|Rich, sophisticated and bold. Burberry Her Intense is a complex fragrance, capturing the powerful energy of London. Intense yet elegant. Dark and fruity, this fragrance boasts intoxicating and sophisticated notes.|iquysc4ghshubyzuxyd4nqa76v9ejnrwbiw9i65h9098q6mimcge5l3zml5i-w500-q85.jpg
Victorinox Swiss Army|Genepi|WOODY|CITRUS|Woods Fresher|['Amber', 'Lavender', 'Mint']|Switzerland|Male|2020|The antithesis of generic, Genepi exudes individuality and freedom of spirit. Exhilaration, energy and an adventurous maverick attitude are its olfactory identity. Taking inspiration from the invigorating power of Swiss mountain herbs, it stimulates the senses and ignites your wanderlust. Make it the architect of your venturesome life and be intuitively adventurous.|a3gqdnabkkr5qw4b4bkbk3xidrtllhrhy8fkpprcojm833i2gp5ykpf2we3j-w500-q85.jpg
Orientica Perfumes|Royal Bleu|AROMATIC FOUGERE|SPICY|Aromatic Fougère Fresher Spicy|['Geranium', 'Cardamom', 'Guaiac Wood', 'Lavender', 'Pepper', 'Bergamot', 'Jasmine', 'Mandarin', 'Musk', 'Patchouli', 'Sandalwood', 'Vanilla', 'Violet', 'Green Apple']|United Kingdom|Unisex|2022|This alluring, enigmatic perfume exudes class with a blend of ice-breakers featuring bright and powerful accords. Make Royal Bleu a part of your daily ritual, and gallop through a sea of admirers, one fragrant step after another!|cbmjzt79n2baeg2zdnk5fq10hznn5p9rnqvjv9lhq7mn0wo6luttl379tt30-w500-q85.jpg
Gilles Cantuel|Arsenal|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher|['Woody Notes', 'Bergamot', 'Neroli', 'Sandalwood', 'Vetiver', 'Incense / Olibanum', 'Opoponax', 'Anise', 'Galbanum', 'Lavender', 'Lemon', 'Mandarin', 'Violet']|France|Male|1996|Seductive, mysterious, and enigmatic.|16cvzr83zc20n4hdlbqbeeaft2dtdri8lwvzwoqnohsymujs9btj0ba2ux8f-w500-q85.jpg
Guerlain|Muguet 2018|FLORAL|FLORAL|Floral Fresher Lily of the Valley|['Lily Of The Valley', 'Green Notes', 'Sandalwood', 'Jasmine', 'Rose (Turkey)']|France|Female|2018|Guerlain celebrates the arrival of Spring with a numbered, limited-edition fragrance, blending tradition and innovation that perpetuates the charm and delicacy of a bouquet sprinkled with wonderful green notes evoking the springtime dew.|cfpktwluwj92uod26oshubljlrou2xabaesamg68q2b6nql08yu0l8utcfa8-w500-q85.jpg
Bella Vita|Glam|CHYPRE|CITRUS|Mossy Woods Crisp Citrus|['Jasmine', 'Cedarwood (Virginia)', 'Patchouli', 'Rose']|India|Female|2022|This indulgent fragrance is sensual and full of character, for a modern woman who likes to take the road less travelled.|8pwu7ou3xds4809cmg7x67nf33v9cx0fj1bcljv0ycz1q96blucdru9so4p7-w500-q85.jpg
Rasasi|Dhan Al Oudh Al Nokhba|WOODY|AMBERY (ORIENTAL)|Woody Amber Crisp Gourmand|['Woody Notes', 'Caramel', 'Raspberry', 'Spicy Notes', 'Musk']||Unisex|2014|Dhan al Oudh al Nokhba calms the nerves and evokes a sense of confidence, optimism and euphoria.|jacov9x9us40ve8s1ziq8kcogkymvxsgnzbw6ngini7on46odoodktlg6uxp-w500-q85.jpg
Victoria'S Secret|Bare Vanilla Candied 2023|AMBERY (ORIENTAL)|GOURMAND|Amber Crisp Gourmand|['Vanilla', 'Caramel', 'Plum', 'Peach', 'Strawberry']|United States of America|Female|2023|Festive and bright. An irresistibly nostalgic twist on your favorite scents with candied notes.|99wdf5uo51j2hnc6l6v4mny0d30gwq6tdxrhjlxju8o403fg83uxh04n6qtl-w500-q85.jpg
